sample_id,decision,decision_remarks,destination,notes
p01-HTØP8470,deponi,,,Bestemmes på et senere tidspunkt
p01-BR-HØ-8550,deponi,,,Bestemmes på et senere tidspunkt
p01-BR-HØ-8580,deponi,,,Bestemmes på et senere tidspunkt
p01-BR-HØ-8650,deponi,,,Bestemmes på et senere tidspunkt
p01-BR-HØ-8700,deponi,,,Bestemmes på et senere tidspunkt
p01-BR-HØ-8735,deponi,,,Bestemmes på et senere tidspunkt
p01-BR-HØ-8800,deponi,,,Bestemmes på et senere tidspunkt
p01-BR-HØ-8850,deponi,,,Bestemmes på et senere tidspunkt
p01-BR-HØ-8900,deponi,,,Bestemmes på et senere tidspunkt
p01-BR-HTV-grøft_P7650-7700-1,deponi,,,Bestemmes på et senere tidspunkt
p01-BR-HTV-grøft_P7650-7700-2,deponi,,,Bestemmes på et senere tidspunkt
p01-BR-HTV-grøft_P7650-7700-3,deponi,,,Bestemmes på et senere tidspunkt
p01-BR-HTVgrøfttrase8-4,deponi,,,Bestemmes på et senere tidspunkt
p01-BR-HV-7460,deponi,,,Bestemmes på et senere tidspunkt
p01-BR-HV-7510,deponi,,,Bestemmes på et senere tidspunkt
p01-BR-HV-7550,deponi,,,Bestemmes på et senere tidspunkt
p01-BR-HV-7560ute1,deponi,,,Bestemmes på et senere tidspunkt
p01-BR-HV-7570,deponi,,,Bestemmes på et senere tidspunkt
p01-BR-HV-7610,deponi,,,Bestemmes på et senere tidspunkt
p01-BR-HV-7660,deponi,,,Bestemmes på et senere tidspunkt
p01-BR-HV-7710,deponi,,,Bestemmes på et senere tidspunkt
p01-BR-HV-7760,deponi,,,Bestemmes på et senere tidspunkt
p01-BR-HV-7810,deponi,,,Bestemmes på et senere tidspunkt
p01-BR-HTV-7860,deponi,,,Bestemmes på et senere tidspunkt
p01-BR-HV-7910,deponi,,,Bestemmes på et senere tidspunkt
p01-BR-Pumpesump,deponi,,,Bestemmes på et senere tidspunkt
p01-BR-HTV-kornfordeling,,,,Bestemmes på et senere tidspunkt
