sample_id,project_code,sample_date,location_type,profile_start,profile_end,tunnel_name,sample_type,lab_reference,sampler,remark
p02-Bunnrensk-Høviktoppen-c-05m,02_e18-e103,2025-09-18,vegbane,,,E103 Høviktoppen,bunnrensk,NO2522963,SVV,
p02-Bunnrensk-Høviktoppen-c-15-2m,02_e18-e103,2025-09-18,vegbane,,,E103 Høviktoppen,bunnrensk,NO2522963,SVV,
p02-Blandeprøve-pel-9260-9110,02_e18-e103,2025-08-04,vegbane,9110.0,9260.0,E103 Høviktoppen,blandprøve,NO2518613,SVV,
p02-Bunnrensk-Høviktoppen-a-0m,02_e18-e103,2025-05-21,vegbane,,,E103 Høviktoppen,bunnrensk,NO2512188,SVV,
p02-Bunnrensk-Høviktoppen-a-05m,02_e18-e103,2025-05-21,vegbane,,,E103 Høviktoppen,bunnrensk,NO2512188,SVV,
p02-Bunnrensk-Høviktoppen-b-0m,02_e18-e103,2025-05-21,vegbane,,,E103 Høviktoppen,bunnrensk,NO2512188,SVV,
p02-Bunnrensk-Høviktoppen-b-05m,02_e18-e103,2025-05-21,vegbane,,,E103 Høviktoppen,bunnrensk,NO2512188,SVV,
p02-Bunnrensk-Høviktoppen-c-0m,02_e18-e103,2025-05-21,vegbane,,,E103 Høviktoppen,bunnrensk,NO2512188,SVV,
p02-Blandeprøve-pel-9510---9310,02_e18-e103,2025-05-20,vegbane,9310.0,9510.0,E103 Høviktoppen,blandprøve,NO2512144,SVV,
p02-Blandeprøve-pel-9760---9560,02_e18-e103,2025-04-30,vegbane,9560.0,9760.0,E103 Høviktoppen,blandprøve,NO2510239,SVV,
p02-Bunnrenskprøve-pel-10010---9810,02_e18-e103,2025-02-12,vegbane,9810.0,10010.0,E103 Høviktoppen,bunnrensk,NO2504945,SVV,
p02-Bunnrenskprøve-pel-9960,02_e18-e103,2025-02-12,vegbane,9960.0,,E103 Høviktoppen,bunnrensk,NO2504945,SVV,
p02-Bunnrenskprøve-pel-9910,02_e18-e103,2025-02-12,vegbane,9910.0,,E103 Høviktoppen,bunnrensk,NO2504945,SVV,
p02-Bunnrenskprøve-pel-9860,02_e18-e103,2025-02-12,vegbane,9860.0,,E103 Høviktoppen,bunnrensk,NO2504945,SVV,
p02-Bunnrenskprøve-pel-9810,02_e18-e103,2025-02-12,vegbane,9810.0,,E103 Høviktoppen,bunnrensk,NO2504945,SVV,
p02-Blandeprøve-pel-10010---9810,02_e18-e103,2025-02-12,vegbane,9810.0,10010.0,E103 Høviktoppen,blandprøve,NO2503280,SVV,
p02-Siste-utlekkingsprøve-Høviktoppen-pel-8760,02_e18-e103,2025-02-12,vegbane,8760.0,,E103 Høviktoppen,bunnrensk,NO2503280,SVV,
p02-Bunnrensk-pel-8760-dag-4,02_e18-e103,2025-01-22,vegbane,8760.0,,E103 Høviktoppen,bunnrensk,NO2501500,SVV,
p02-Bunnrensk-fra-Høviktoppen-dag-4,02_e18-e103,2025-01-22,vegbane,,,E103 Høviktoppen,bunnrensk,NO2501500,SVV,
p02-Bunnrensk-pel-8760-dag-3,02_e18-e103,2025-01-21,vegbane,8760.0,,E103 Høviktoppen,bunnrensk,NO2501363,SVV,
p02-Bunnrensk-pel-8760-Ved-utkjøring,02_e18-e103,2025-01-20,vegbane,8760.0,,E103 Høviktoppen,bunnrensk,NO2501241,SVV,
p02-Grøfteslam,02_e18-e103,2025-01-20,grøft,,,E103 Høviktoppen,bunnrensk,NO2501241,SVV,
p02-Bunnrensk-pel-8760-etter-utkjøring,02_e18-e103,2025-01-20,vegbane,8760.0,,E103 Høviktoppen,bunnrensk,NO2501241,SVV,
p02-Bunnrensk-Høviktoppen,02_e18-e103,2025-01-17,vegbane,,,E103 Høviktoppen,bunnrensk,NO2501241,SVV,
p02-Bunnrensk-prøver-som-sjekkes-for-Benzen,02_e18-e103,2025-01-08,vegbane,,,E103 Høviktoppen,bunnrensk,NO2500500,SVV,
p02-Bunnrenskprøve-8760,02_e18-e103,2024-12-18,vegbane,8760.0,,E103 Høviktoppen,bunnrensk,NO2500215,SVV,
p02-Bunnrenskprøver-8710,02_e18-e103,2024-12-18,vegbane,8710.0,,E103 Høviktoppen,bunnrensk,NO2500215,SVV,
p02-Bunnrenskprøver-8660,02_e18-e103,2024-12-18,vegbane,8660.0,,E103 Høviktoppen,bunnrensk,NO2500215,SVV,
p02-Bunnrenskprøver-8610,02_e18-e103,2024-12-18,vegbane,8610.0,,E103 Høviktoppen,bunnrensk,NO2500215,SVV,
p02-Bunnrenskprøver-8560,02_e18-e103,2024-12-18,vegbane,8560.0,,E103 Høviktoppen,bunnrensk,NO2500215,SVV,
p02-Pel-8760---8560,02_e18-e103,2024-12-18,vegbane,8560.0,8760.0,E103 Høviktoppen,bunnrensk,NO2430587,SVV,
p02-Bunnrensk-8760,02_e18-e103,2024-11-06,vegbane,8760.0,,E103 Høviktoppen,bunnrensk,NO2427296,SVV,
p02-Bunnrensk-8810,02_e18-e103,2024-11-06,vegbane,8810.0,,E103 Høviktoppen,bunnrensk,NO2427296,SVV,
p02-Bunnrensk-8860,02_e18-e103,2024-11-06,vegbane,8860.0,,E103 Høviktoppen,bunnrensk,NO2427296,SVV,
p02-Bunnrensk-8910,02_e18-e103,2024-11-06,vegbane,8910.0,,E103 Høviktoppen,bunnrensk,NO2427296,SVV,
p02-Bunnrensk-8960,02_e18-e103,2024-11-06,vegbane,8960.0,,E103 Høviktoppen,bunnrensk,NO2427296,SVV,
p02-Blandeprøve-bunnrensk-8960-8760,02_e18-e103,2024-11-06,vegbane,8760.0,8960.0,E103 Høviktoppen,blandprøve,NO2426201,SVV,
p02-Grøftekant-9010,02_e18-e103,2024-08-21,grøft,9010.0,,E103 Høviktoppen,bunnrensk,NO2418537,SVV,
p02-Bunnrensk-9010,02_e18-e103,2024-08-21,vegbane,9010.0,,E103 Høviktoppen,bunnrensk,NO2418537,SVV,
p02-BRMØ1,02_e18-e103,2024-03-07,vegbane,,,E103 Høviktoppen,bunnrensk,NO2404953,SVV,
p02-BRMØ1-ristetest,02_e18-e103,2024-03-07,vegbane,,,E103 Høviktoppen,bunnrensk,NO2404953,SVV,
p02-BRMØ1-kolonnetest,02_e18-e103,2024-03-07,vegbane,,,E103 Høviktoppen,bunnrensk,NO2404953,SVV,
p02-PEL-9960,02_e18-e103,2023-11-30,vegbane,9960.0,,E103 Høviktoppen,bunnrensk,NO2326608,SVV,
p02-PEL-8981,02_e18-e103,2023-11-30,vegbane,8981.0,,E103 Høviktoppen,bunnrensk,NO2326608,SVV,
p02-PEL-9960-Ristetest,02_e18-e103,2023-11-30,vegbane,9960.0,,E103 Høviktoppen,bunnrensk,NO2326608,SVV,
p02-PEL-8981-Ristetest,02_e18-e103,2023-11-30,vegbane,8981.0,,E103 Høviktoppen,bunnrensk,NO2326608,SVV,
p02-PEL-9960-Kolonnetest,02_e18-e103,2023-11-30,vegbane,9960.0,,E103 Høviktoppen,bunnrensk,NO2326608,SVV,
p02-PEL-8981-Kolonnetest,02_e18-e103,2023-11-30,vegbane,8981.0,,E103 Høviktoppen,bunnrensk,NO2326608,SVV,
